shift,power
59.16132,0.045608226
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
7.381117,0.062604524
7.8909125,0.02606664
0.0,1.0
0.0,1.0
0.0,1.0
10.575577,0.1757941
53.479977,0.033010248
45.91203,0.020670682
34.08114,0.36815947
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.7885871,0.578892
0.0,1.0
