λ2,λ1
1.0,1.0
1.0,1.0
1.0,0.561754
1.0,1.0
1.0,2.3622098
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.2799291
1.0,1.0
1.0,1.0
1.0,1.0
